,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2024-10-13 00:00:00,0.05910821,0.1823876,0.028020298,0.08936883,-0.102087885,-0.18248984,-0.17510815,0.16878162,0.13638741,0.05719382,-0.04351233,-0.04267499,0.12685245,-0.014076711,-0.073710844,-0.0055908295,-0.060414374,0.1043848,0.20210727,0.07689589,0.06823199,0.25040984,0.030667791,-0.06659543,-0.1188732,0.23039831,-0.04506424,0.0029568102,-0.07780961,0.03625809,0.04067923,-0.09496843,-0.07929937,-0.17071098,0.16247606,-0.14155065,0.10766918,0.19081554,-0.21517989,-0.08680553,-0.013205223,-0.058262732,0.11846538,0.15276988,0.19821286,0.18982328,-0.07974089,-0.00463016,0.025860762,-0.1188813,-0.00855146,0.0881803,-0.051539242,-0.016209308,-0.087122895,-0.19247694,-0.24573195,0.14429604,0.20538035,-0.17460388,-0.09888003,-0.16302751,0.08794382,-0.054138917
2024-10-13 01:00:00,0.08699579,0.19113638,0.01740598,0.07073262,-0.08136141,-0.1623427,-0.15774572,0.15752718,0.12259611,0.044355944,-0.04882996,-0.0021891075,0.12369409,-0.0066079986,-0.049011994,-0.0008644124,-0.0516445,0.11575242,0.20201796,0.0561088,0.0779959,0.23857655,0.008310272,-0.07166651,-0.08622106,0.20775129,-0.048078954,0.022145374,-0.09019572,0.019630183,0.004865217,-0.09723602,-0.083529055,-0.15446855,0.16851422,-0.12431303,0.090791315,0.17604417,-0.19838205,-0.09204266,-0.019171214,-0.05670056,0.11666183,0.138339,0.17868537,0.17373526,-0.048495844,-0.0069086403,0.03476171,-0.12090923,-0.04122351,0.11287374,-0.043653294,-0.020902837,-0.088477984,-0.18468736,-0.2366627,0.115461536,0.17998172,-0.15884863,-0.097719245,-0.1551247,0.085084565,0.0041949525
2024-10-13 02:00:00,0.057344977,0.18625483,0.02784095,0.10101431,-0.0943502,-0.17758173,-0.18438777,0.15572922,0.12689586,0.049089253,-0.03377189,-0.04295095,0.13548248,-0.017164888,-0.085404366,-0.004314606,-0.061252996,0.10238575,0.19524293,0.076275885,0.06347885,0.23683871,0.02885892,-0.07526963,-0.12394447,0.23871885,-0.046279017,0.013955816,-0.092303865,0.039825592,0.05181606,-0.12375931,-0.08224309,-0.17054316,0.1532695,-0.13467957,0.09873002,0.1791532,-0.21042858,-0.08895423,-0.016404696,-0.059677586,0.12021906,0.15037523,0.19860475,0.1801939,-0.06722546,-0.03335451,0.027798628,-0.11265501,-0.007422918,0.093686014,-0.063446596,0.005672191,-0.08032584,-0.17709446,-0.25097203,0.15259527,0.20621414,-0.1698539,-0.09092711,-0.16139372,0.08486793,-0.05580993
2024-10-13 03:00:00,0.035788417,0.22039403,0.023172168,0.11539237,-0.090201944,-0.1756285,-0.18428896,0.15941328,0.1427882,0.050856903,-0.024611795,-0.060057264,0.12738016,-0.0373561,-0.097574644,-0.017969094,-0.07581791,0.10308605,0.21033548,0.079848565,0.046702854,0.24286968,0.038927816,-0.07144022,-0.15419352,0.24430436,-0.03232865,0.0156009635,-0.08229954,0.04499912,0.071315624,-0.10197244,-0.05958114,-0.18269068,0.18225124,-0.13101596,0.094600275,0.19049196,-0.21198314,-0.07606556,-0.032417055,-0.05083423,0.1307651,0.14244668,0.21228437,0.18262924,-0.11939268,-0.0145461075,0.05264459,-0.09841133,-0.008783695,0.08682442,-0.08180895,0.021675127,-0.08173564,-0.16721492,-0.24710785,0.16969569,0.20949537,-0.1662361,-0.085036986,-0.15569425,0.072450966,-0.06694243
2024-10-13 04:00:00,0.076675594,0.15944226,0.030163184,0.096628055,-0.08582385,-0.18002649,-0.16429542,0.14814001,0.116416976,0.050349616,-0.032439575,-0.033728138,0.12720399,-0.0137306405,-0.06021993,-0.010444947,-0.06403754,0.10994205,0.2029924,0.07178863,0.061358374,0.20721023,0.027573178,-0.090413705,-0.12911493,0.22601345,-0.059490032,0.030277487,-0.0862783,0.010124368,0.048645984,-0.12925431,-0.079397365,-0.17384762,0.11422175,-0.1319777,0.10749879,0.1806672,-0.19903801,-0.0811798,-0.019251348,-0.053459115,0.1103181,0.13594717,0.18164583,0.17089868,-0.05739169,-0.024884596,0.03777368,-0.10687141,0.0040088603,0.08524284,-0.055199917,0.009694966,-0.08921599,-0.17346549,-0.22744814,0.14071043,0.23941939,-0.15630092,-0.079916626,-0.1513025,0.07863554,-0.066357695
2024-10-13 05:00:00,0.13608865,0.15378708,0.0041857674,0.053806353,-0.032592732,-0.1140726,-0.091745764,0.09048195,0.08548236,-0.0022281632,-0.021285288,0.052402478,0.09405806,-0.012925948,-0.0026837932,-0.022467837,-0.039442874,0.11009562,0.19983192,0.023973783,0.079492114,0.16538844,-0.029164018,-0.13014205,-0.0594391,0.16760896,-0.101271994,0.07273909,-0.09802101,-0.06406632,-0.033325348,-0.12934852,-0.039480828,-0.15981406,0.07492001,-0.061428335,0.05283855,0.14942391,-0.13204493,-0.045535572,-0.079525016,-0.027739247,0.12408286,0.067203194,0.119289726,0.110615596,0.022219904,-0.036920946,0.09655349,-0.081094,-0.019919347,0.11849843,-0.07170746,0.029582275,-0.07992392,-0.12838753,-0.16807634,0.059275005,0.20895632,-0.092685096,-0.039886795,-0.1098475,0.024558183,0.036418855
2024-10-13 06:00:00,0.08136402,0.18116935,0.016897522,0.07731548,-0.078980364,-0.1597098,-0.1597883,0.15092365,0.11479142,0.04375542,-0.043422885,-0.01099011,0.12580924,-0.0064763455,-0.052158006,-0.014516951,-0.06022341,0.108751476,0.2092818,0.05770503,0.08284362,0.2358194,0.0075722826,-0.08059292,-0.09865297,0.21691307,-0.053258274,0.008941459,-0.1031458,0.018599253,0.019920068,-0.11836924,-0.07858439,-0.14915125,0.17390323,-0.12530519,0.089328736,0.17962994,-0.19803827,-0.08456785,-0.02475894,-0.05757885,0.116878174,0.1396983,0.17522694,0.17127988,-0.05268691,-0.026145661,0.022788433,-0.11201303,-0.03300239,0.101007715,-0.048984542,-0.0066300067,-0.09448496,-0.17942293,-0.23810343,0.11826984,0.1969066,-0.15626842,-0.08697529,-0.15641847,0.074479364,-0.020097174
2024-10-13 07:00:00,0.056165736,0.19548962,0.014894349,0.09612317,-0.083179496,-0.16758256,-0.16979629,0.15687452,0.12601152,0.04053288,-0.031012854,-0.032262128,0.11882612,-0.02419806,-0.071338646,-0.012071613,-0.065844044,0.09799266,0.20337695,0.06841448,0.05838242,0.23419511,0.018683052,-0.07534296,-0.118713275,0.224342,-0.045541577,0.009875563,-0.09541636,0.034156546,0.03349709,-0.1009362,-0.067239046,-0.16521381,0.175407,-0.11952924,0.08458237,0.17502244,-0.200158,-0.08394199,-0.03248331,-0.053669274,0.12786624,0.13185449,0.19571137,0.16954654,-0.07633477,-0.019251086,0.0409995,-0.1068584,-0.022925684,0.10118666,-0.07285411,0.0060918937,-0.07756158,-0.16431251,-0.24259692,0.13518684,0.18376245,-0.15937802,-0.092535384,-0.151085,0.06995705,-0.037113626
2024-10-13 08:00:00,0.06139364,0.17406553,0.019387078,0.09641218,-0.08758388,-0.17383443,-0.17630632,0.16017134,0.1213701,0.044074036,-0.03204526,-0.038719404,0.12746619,-0.017276632,-0.074141964,-0.00760262,-0.05108158,0.10984763,0.19649206,0.072956,0.053714473,0.22230531,0.021352159,-0.068992116,-0.12620537,0.22972472,-0.041803323,0.015701063,-0.099440165,0.026899232,0.03694188,-0.109351896,-0.081178844,-0.15944916,0.15081589,-0.12714088,0.09194101,0.17465779,-0.20143768,-0.08965318,-0.02492269,-0.05573857,0.11271033,0.14437737,0.19212975,0.1726273,-0.064392865,-0.027655378,0.023399873,-0.11314958,-0.021110918,0.099865586,-0.06450559,0.0035137986,-0.08190806,-0.1726261,-0.2390037,0.13964897,0.18724029,-0.16815077,-0.095123544,-0.15554798,0.081866756,-0.043024547
2024-10-13 09:00:00,0.07429312,0.19360238,0.0178879,0.08188301,-0.084901236,-0.16554374,-0.16275153,0.15648499,0.12321233,0.048285864,-0.048122045,-0.016066892,0.12343757,-0.004943126,-0.05436596,-0.0009503436,-0.060593262,0.111720294,0.19930361,0.060847413,0.06147721,0.23379572,0.009536641,-0.06810385,-0.10037645,0.21368992,-0.054893762,0.009347612,-0.085703984,0.029964505,0.012043937,-0.08680568,-0.08410854,-0.15691037,0.17889562,-0.12521729,0.08913969,0.17949194,-0.19479184,-0.088183805,-0.019914791,-0.056629706,0.121689744,0.13185127,0.19031243,0.17027159,-0.066599905,-0.0025435055,0.02846482,-0.115585096,-0.046402894,0.1031484,-0.05595671,-0.012900948,-0.08698733,-0.17858191,-0.23845448,0.119594485,0.17577676,-0.16398704,-0.100824565,-0.15383016,0.07984246,-0.012249954
