,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,score_yellow,score_red
2024-11-11 09:00:00,0.09977051,0.1251748,0.15194707,0.12903053,-0.1395541,-0.24893484,-0.1768699,0.09847777,0.10715902,0.21695943,-0.26994404,0.195147,0.15122664,0.1631087,-0.12261737,0.13038981,-0.27770385,0.16043895,0.23290578,0.20013942,0.051900625,0.18050517,0.17434628,-0.22304285,0.11364223,0.12667653,-0.17981756,0.09727979,-0.06894096,0.13250184,-0.14413024,-0.11170563,-0.11995905,-0.17523332,0.056503624,-0.18742855,0.12745856,0.13432586,-0.13861959,-0.16820052,0.19283171,-0.14590164,0.2042728,0.08618703,0.08699382,0.11273974,0.09994118,-0.17223667,0.21483049,-0.22811961,0.15225962,0.11362267,0.1143212,-0.14032587,-0.08416133,-0.14274256,-0.107853614,0.1018156,0.19596404,-0.15414399,-0.1590051,-0.16610691,0.13959424,0.16320902,0.5029658711485798,0.5029658711485798
2024-11-11 10:00:00,0.09416552,0.17048329,0.17250763,0.14010136,-0.14860666,-0.24734432,-0.17823985,0.093330644,0.08868278,0.24879603,-0.31416413,0.26908505,0.1425862,0.20180404,-0.16440606,0.15955831,-0.34598035,0.16484147,0.25317207,0.22668085,0.06065788,0.17699783,0.19845733,-0.26327538,0.17478634,0.09790846,-0.21229972,0.08903828,-0.070542976,0.16679417,-0.22095795,-0.11580107,-0.11577629,-0.18239816,0.10301742,-0.19056806,0.1153105,0.117811166,-0.1348354,-0.18431976,0.21349367,-0.17187135,0.25363308,0.058379527,0.085557684,0.08995481,0.14701292,-0.23882568,0.28923845,-0.24904495,0.15847999,0.14995272,0.13000463,-0.17416511,-0.06491609,-0.118265636,-0.08905619,0.08513648,0.15389414,-0.14915535,-0.18515208,-0.16287024,0.1334063,0.25886557,0.5153191430557755,0.5153191430557755
2024-11-11 11:00:00,0.16555446,0.11201334,0.17168988,0.13582908,-0.14083843,-0.24750029,-0.16078128,0.07709644,0.05418223,0.25091314,-0.3433007,0.31527108,0.15205872,0.2251587,-0.12138392,0.16848044,-0.3519028,0.19343078,0.27498138,0.22118011,0.076389536,0.1392504,0.18084653,-0.3005442,0.190802,0.076781504,-0.24237067,0.14740232,-0.1103461,0.11946879,-0.2774608,-0.13016771,-0.13263872,-0.1814841,0.03161182,-0.1790287,0.11223339,0.10283028,-0.1068821,-0.1968721,0.21969111,-0.16674258,0.26882556,0.04170603,0.05073861,0.07564402,0.21552347,-0.2687627,0.28741884,-0.26741943,0.1504639,0.19823012,0.14706106,-0.16831753,-0.075014554,-0.12580226,-0.053296812,0.04420722,0.16791113,-0.14090978,-0.19234897,-0.15771668,0.14094679,0.3075068,0.5600322541636497,0.5600322541636497
2024-11-11 12:00:00,0.14900257,0.12496487,0.1991097,0.16392252,-0.17234197,-0.27236906,-0.20055452,0.111363426,0.06834135,0.28263363,-0.35615492,0.27931923,0.17173077,0.23453245,-0.16207871,0.18505318,-0.35221353,0.19684075,0.28251526,0.24945739,0.06463492,0.16919191,0.20891756,-0.27525613,0.18373181,0.10519975,-0.23954834,0.13812312,-0.11925568,0.1673531,-0.2682658,-0.12888591,-0.1552406,-0.19436571,0.06414058,-0.2092697,0.14242901,0.11768007,-0.14675745,-0.2185166,0.25959173,-0.18825127,0.2721583,0.07265091,0.08808488,0.09864896,0.21166816,-0.28001192,0.26187214,-0.28486508,0.16372877,0.18464778,0.16336404,-0.18800874,-0.07817454,-0.14455134,-0.09282033,0.08113383,0.15855964,-0.17821065,-0.22401138,-0.17916377,0.17113344,0.2629271,0.5257754177570059,0.5257754177570059
2024-11-11 13:00:00,0.14221719,0.18229857,0.23420501,0.17603822,-0.23414549,-0.32669994,-0.2624628,0.20321341,0.096247904,0.3417247,-0.39170977,0.24251947,0.20029359,0.24721588,-0.2105473,0.22613609,-0.35820565,0.22380908,0.2865604,0.3011602,0.08560625,0.22967727,0.24164386,-0.2273232,0.1703391,0.15521555,-0.20859018,0.11446876,-0.12989943,0.2211907,-0.2915165,-0.11296389,-0.22540307,-0.20673813,0.13229348,-0.26673874,0.19163704,0.15487196,-0.22204617,-0.26709697,0.31778073,-0.24107428,0.2733028,0.13507278,0.1688601,0.1712653,0.19129227,-0.27343455,0.23594296,-0.34804425,0.14054392,0.21038531,0.19705804,-0.24280824,-0.08148108,-0.21355869,-0.16371854,0.13474156,0.1406397,-0.25016943,-0.30117667,-0.22870971,0.2314609,0.26081014,0.5305966409057379,0.5305966409057379
2024-11-11 14:00:00,0.12767346,0.19382414,0.23737644,0.20490922,-0.24222532,-0.3414083,-0.27906162,0.19902313,0.10214584,0.34981167,-0.38648355,0.22197634,0.22512774,0.24979214,-0.22701266,0.23203409,-0.38264054,0.21519001,0.27544934,0.31205586,0.07568827,0.23093173,0.24756153,-0.2281641,0.17591743,0.18965665,-0.22324711,0.08728009,-0.12573823,0.26682913,-0.24995245,-0.113052055,-0.23331349,-0.21365094,0.15503776,-0.2731099,0.21095638,0.16330694,-0.22594222,-0.2863958,0.32703266,-0.25363913,0.28852785,0.1499878,0.2014652,0.18306816,0.17950085,-0.26829278,0.2253682,-0.34678605,0.13530508,0.1965121,0.20181644,-0.25270316,-0.08530372,-0.2100637,-0.17385152,0.16313703,0.14969012,-0.25425977,-0.29974642,-0.24055205,0.24226318,0.22242527,0.5267316964156623,0.5267316964156623
2024-11-11 15:00:00,0.122704744,0.19409874,0.2873735,0.20779331,-0.303691,-0.3953472,-0.32685888,0.26964036,0.13602078,0.40493208,-0.4205868,0.17691667,0.2401791,0.26604444,-0.2637242,0.2741497,-0.35708907,0.25215062,0.26541528,0.36473748,0.09655508,0.26614547,0.29667902,-0.1849656,0.1661536,0.2245313,-0.18706144,0.08688317,-0.12818563,0.29386696,-0.26363665,-0.12146438,-0.289794,-0.22379172,0.14602746,-0.33510894,0.275463,0.19742584,-0.2910154,-0.31650048,0.38768244,-0.29998836,0.2629011,0.21017034,0.24579763,0.25128114,0.17361972,-0.26477167,0.18978204,-0.39962798,0.17033644,0.190214,0.24977669,-0.2923839,-0.09169039,-0.27143824,-0.22969753,0.21995342,0.16657495,-0.32052624,-0.35484484,-0.2904201,0.30646846,0.19128464,0.48491084791826083,0.48491084791826083
2024-11-11 16:00:00,0.14591505,0.19159035,0.3016783,0.19763775,-0.31911322,-0.41068834,-0.32798427,0.2853088,0.14517042,0.4177548,-0.42944983,0.1701004,0.25481346,0.27828187,-0.24887389,0.29391783,-0.34610578,0.26511437,0.2581141,0.3714317,0.108114034,0.28085598,0.30104825,-0.16649558,0.19754595,0.23589633,-0.18409616,0.093195,-0.12672147,0.30644932,-0.274301,-0.102482036,-0.31336305,-0.22930555,0.14391635,-0.35319054,0.3008952,0.19854651,-0.3051705,-0.3364346,0.41028035,-0.31682396,0.26067758,0.23430936,0.26315936,0.2713405,0.19164994,-0.23815209,0.17062806,-0.4215379,0.15591466,0.21085656,0.2809604,-0.33362615,-0.09844989,-0.2955411,-0.24169917,0.22159085,0.16163336,-0.3395355,-0.37548152,-0.30350527,0.3314974,0.19874744,0.4900050863576496,0.4900050863576496
2024-11-11 17:00:00,0.16704898,0.15941326,0.27386844,0.19406083,-0.28381813,-0.3848415,-0.29723886,0.25231996,0.11020364,0.3894418,-0.42441446,0.20118296,0.24689217,0.27828497,-0.21823356,0.27490693,-0.35444146,0.24967076,0.2659161,0.33872965,0.10039464,0.24578017,0.2704616,-0.19667976,0.19788317,0.20234165,-0.19619244,0.11509913,-0.1478513,0.26887,-0.29095665,-0.101952545,-0.28402686,-0.21298678,0.10669482,-0.31485158,0.26691848,0.17227738,-0.2666551,-0.32060048,0.3839091,-0.29600924,0.27636722,0.19403416,0.22289552,0.22892787,0.22066769,-0.25860047,0.18535113,-0.40370446,0.1363825,0.22737102,0.25047928,-0.3063085,-0.09417393,-0.27000183,-0.20105909,0.17842941,0.14495634,-0.30514425,-0.35195413,-0.27678484,0.3032531,0.2270162,0.527746554233637,0.527746554233637
2024-11-11 18:00:00,0.13649073,0.15712443,0.31649548,0.24263163,-0.33252117,-0.42721692,-0.3530765,0.29240495,0.15288515,0.419486,-0.43084502,0.1346032,0.26964355,0.28586924,-0.26526004,0.29320353,-0.37290144,0.27085936,0.27242732,0.39255342,0.11219554,0.27633965,0.3133139,-0.17100713,0.16500603,0.26372454,-0.18957868,0.10994234,-0.15967935,0.31328976,-0.2459489,-0.12801334,-0.32164058,-0.22536698,0.14725225,-0.36283427,0.3187975,0.21477097,-0.30835044,-0.34586605,0.4187017,-0.31819895,0.25550976,0.25790882,0.26168314,0.2904485,0.1720229,-0.2598105,0.14843142,-0.4210235,0.19315931,0.18486978,0.28638488,-0.3207078,-0.12634741,-0.2944716,-0.24119703,0.24809456,0.18277657,-0.35103017,-0.37294102,-0.31436542,0.337132,0.15640105,0.47589884214289185,0.47589884214289185
