,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2024-11-12 09:00:00,0.12142662,0.16079198,0.070653796,0.07042384,-0.11907771,-0.2096108,-0.17073044,0.17226344,0.11659323,0.110543184,-0.129685,0.041199997,0.14115915,0.04584322,-0.050709825,0.053548984,-0.07495273,0.14800069,0.20512964,0.10077788,0.09893012,0.22675341,0.053982083,-0.09207905,-0.023309465,0.20433661,-0.07397863,0.055165,-0.08485627,0.037474982,-0.06015183,-0.1039255,-0.1292741,-0.17267363,0.08631844,-0.16230884,0.13408348,0.17383516,-0.21298987,-0.12885678,0.066152066,-0.10557498,0.12787804,0.14545652,0.1788481,0.1855728,0.027360763,-0.032813802,0.065337,-0.18508993,8.3483756e-05,0.13922006,0.02371249,-0.08375088,-0.09555847,-0.21381517,-0.22460377,0.11592284,0.19891001,-0.19017287,-0.14365284,-0.17954458,0.13762861,0.04279708
2024-11-12 10:00:00,0.11812598,0.1624545,0.057118412,0.062148884,-0.111211926,-0.20136909,-0.16595599,0.17353894,0.119424276,0.09259589,-0.1079572,0.021634072,0.13734175,0.027632687,-0.039349977,0.03885191,-0.05050373,0.14190072,0.19900775,0.0850012,0.0998616,0.2305809,0.03869343,-0.07763645,-0.04284697,0.21058643,-0.059398614,0.048281744,-0.08146652,0.02378627,-0.03968595,-0.10132968,-0.12335249,-0.17089713,0.087372944,-0.15570098,0.12980339,0.17705531,-0.21612954,-0.11860922,0.04625256,-0.094663806,0.11588206,0.14890788,0.18344349,0.18940674,0.009917546,-0.011332214,0.04905633,-0.1727936,-0.014675375,0.13488376,0.00812385,-0.07095374,-0.096437804,-0.21720958,-0.23387955,0.11694038,0.20230648,-0.18842813,-0.13342842,-0.17719227,0.13168214,0.023238719
2024-11-12 11:00:00,0.1170066,0.16152193,0.04535237,0.05570841,-0.09835783,-0.18774615,-0.15389697,0.16357228,0.11966585,0.07380126,-0.08944826,0.017898705,0.12816758,0.014654249,-0.0288294,0.025315475,-0.037218764,0.13619876,0.1957281,0.070377424,0.097815014,0.22594298,0.026418831,-0.07660367,-0.051312197,0.20611942,-0.05567835,0.049186856,-0.078439325,0.007206591,-0.029148612,-0.100078754,-0.10997863,-0.16840118,0.08459725,-0.14242862,0.1183975,0.174613,-0.20725287,-0.10384134,0.024121191,-0.08231078,0.10977866,0.14033706,0.17565869,0.1820858,0.0004988499,-0.00015127286,0.050316375,-0.15632638,-0.019033499,0.12987572,-0.0067588873,-0.055212308,-0.09533192,-0.20901646,-0.22913137,0.11053139,0.20464423,-0.17583062,-0.11672053,-0.16798149,0.1166999,0.018636126
2024-11-12 12:00:00,0.11959716,0.15941377,0.037209243,0.0516814,-0.0840297,-0.17256424,-0.13834473,0.14670253,0.11651987,0.058346745,-0.07769248,0.029164284,0.11684257,0.0091024,-0.02087405,0.015600074,-0.036067665,0.13246736,0.19584197,0.059493456,0.09460231,0.21509135,0.018264666,-0.08739774,-0.048563693,0.19420396,-0.06265679,0.05594194,-0.07684561,-0.008907795,-0.030846473,-0.1009904,-0.09376439,-0.16631243,0.07912935,-0.12631875,0.103597105,0.16814417,-0.1908357,-0.08880155,0.004322134,-0.07164988,0.110469975,0.12338118,0.16014497,0.16708039,0.0018182695,-0.0005755499,0.06618752,-0.14049332,-0.01508848,0.1268827,-0.017955132,-0.0405214,-0.09256838,-0.19338495,-0.21436583,0.09873131,0.20600832,-0.15712604,-0.098782174,-0.15520228,0.09758886,0.02825737
2024-11-12 13:00:00,0.12565035,0.15744437,0.03146317,0.04856234,-0.07052466,-0.15835692,-0.1227566,0.12851101,0.11045679,0.046498746,-0.07092192,0.04776635,0.106134206,0.008251611,-0.014443878,0.008890308,-0.041156694,0.13052122,0.19802962,0.051335376,0.0922211,0.20198691,0.012003403,-0.10333752,-0.040285293,0.18035467,-0.07520816,0.06428019,-0.07650767,-0.023616415,-0.040302258,-0.103779204,-0.07852585,-0.16493334,0.07250668,-0.110513315,0.088947654,0.16043092,-0.17300972,-0.075745635,-0.01227925,-0.06328292,0.114991084,0.1038857,0.1433413,0.14985934,0.010750487,-0.007387433,0.087673545,-0.12751062,-0.008953556,0.12674475,-0.02583234,-0.02840865,-0.08903016,-0.17627358,-0.19674402,0.084724195,0.20715389,-0.13772608,-0.08294539,-0.14223257,0.07887058,0.044662137
2024-11-12 14:00:00,0.13307512,0.15629777,0.02707541,0.045465484,-0.059902363,-0.1472983,-0.11028018,0.114090055,0.10356414,0.037883274,-0.066421844,0.06450927,0.09816652,0.008549262,-0.008838668,0.0040521733,-0.04612714,0.12979594,0.20041585,0.04492827,0.09161732,0.19072187,0.0062523037,-0.11712722,-0.032711018,0.16967638,-0.08707056,0.07072194,-0.07683733,-0.03584616,-0.05071795,-0.10729472,-0.06717762,-0.16414356,0.06650249,-0.09788951,0.07769245,0.15416798,-0.15913825,-0.06604554,-0.025170825,-0.05730865,0.11955228,0.08780261,0.13070837,0.13590762,0.021367932,-0.014210027,0.10570679,-0.118375845,-0.005252922,0.1284789,-0.031258147,-0.019592777,-0.08586599,-0.16294688,-0.18279934,0.07257251,0.20861135,-0.12242715,-0.07129144,-0.13205941,0.06435853,0.059286058
2024-11-12 15:00:00,0.13950196,0.15587343,0.023628525,0.04239864,-0.052928038,-0.14012572,-0.10217615,0.10541277,0.09796385,0.031902105,-0.062466048,0.074295245,0.093441606,0.007865712,-0.004015092,0.0003656149,-0.047794793,0.12964663,0.2017876,0.039853044,0.09239522,0.18334025,0.0009898208,-0.12508179,-0.029022262,0.1641018,-0.09455598,0.07416628,-0.07716494,-0.044884585,-0.05740834,-0.110351965,-0.060400385,-0.16364224,0.06209498,-0.08961492,0.0710078,0.15049228,-0.15114476,-0.059767947,-0.034258746,-0.053374473,0.121922,0.0778973,0.12400299,0.12765941,0.02901054,-0.017416172,0.11611464,-0.11272861,-0.005048886,0.13039936,-0.03502646,-0.013878524,-0.083761185,-0.15533313,-0.17506398,0.064654805,0.21042737,-0.113025144,-0.06397141,-0.12577182,0.055344656,0.06754347
2024-11-12 16:00:00,0.14366207,0.15570171,0.020784076,0.039534934,-0.048834667,-0.13596813,-0.097660504,0.10140526,0.094534256,0.027579598,-0.05837316,0.07710405,0.091060266,0.005683299,6.9729984e-05,-0.0027098283,-0.046003483,0.129446,0.20190111,0.03570074,0.09358829,0.17957006,-0.003538765,-0.12749103,-0.029228393,0.16258302,-0.0972641,0.075258635,-0.07696314,-0.051068284,-0.059217546,-0.11234423,-0.05692349,-0.16313326,0.059194118,-0.084916554,0.067892864,0.14896366,-0.14781858,-0.05587627,-0.040376954,-0.050660267,0.121809565,0.07341194,0.12178671,0.12426012,0.032142095,-0.016603034,0.119594604,-0.10926221,-0.0072048604,0.13134553,-0.03793133,-0.01027412,-0.08269934,-0.15231313,-0.17241153,0.060768057,0.21235803,-0.10839924,-0.0596297,-0.122582585,0.050676934,0.06947747
2024-11-12 17:00:00,0.14552489,0.15540594,0.018222641,0.036926147,-0.04630544,-0.13340615,-0.095170856,0.09991097,0.09301732,0.023977026,-0.05408237,0.07550543,0.08978966,0.0024263598,0.0035969317,-0.005540479,-0.042012285,0.12882754,0.20110114,0.03205447,0.09445163,0.17804374,-0.00732062,-0.12650181,-0.03182434,0.16307479,-0.09663964,0.075150274,-0.076039955,-0.055365056,-0.05735053,-0.11328286,-0.05501342,-0.16246268,0.05720164,-0.08226259,0.066611186,0.14854793,-0.14691031,-0.05314441,-0.044771336,-0.048386447,0.12000647,0.072079405,0.121694885,0.12353082,0.031607643,-0.013115715,0.118937135,-0.10668981,-0.01020731,0.13105056,-0.040552855,-0.0076977834,-0.082290314,-0.15172623,-0.17242926,0.059373464,0.21413794,-0.10639566,-0.056675553,-0.12106469,0.048384078,0.0674435
2024-11-12 18:00:00,0.14564462,0.15483542,0.015608236,0.034453962,-0.044215374,-0.13124213,-0.09335546,0.0991754,0.0927595,0.020317681,-0.04952813,0.07196057,0.088707656,-0.0014408007,0.0068886355,-0.008447979,-0.03691348,0.12766209,0.19978394,0.028466001,0.09470429,0.17746021,-0.0106766075,-0.1240657,-0.03546303,0.16402282,-0.09424467,0.0746851,-0.074450314,-0.058878236,-0.053406112,-0.11347312,-0.053372532,-0.16159298,0.055546217,-0.080303565,0.065763295,0.14842351,-0.14665562,-0.050617315,-0.048666105,-0.04599624,0.117322244,0.07190631,0.12197592,0.12363542,0.028850783,-0.008314859,0.11656755,-0.10410256,-0.01316547,0.12973431,-0.043305643,-0.00529667,-0.0821609,-0.15185076,-0.17321987,0.058959283,0.2156581,-0.10523285,-0.053912662,-0.12004995,0.04682622,0.06366283
